n,structure,operation,repeat,batch_size,batch_seconds,seconds_per_operation
1000,DynamicArray,prepend,1,50,0.01637230000051204,0.00032744600001024084
1000,DynamicArray,prepend,2,50,0.016855099995154887,0.00033710199990309774
1000,DynamicArray,prepend,3,50,0.01666789999580942,0.0003333579999161884
1000,DynamicArray,prepend,4,50,0.01614740000513848,0.00032294800010276956
1000,DynamicArray,prepend,5,50,0.01615039999887813,0.00032300799997756255
1000,DynamicArray,get_middle,1,200,5.119999696034938e-05,2.559999848017469e-07
1000,DynamicArray,get_middle,2,200,5.09000092279166e-05,2.54500046139583e-07
1000,DynamicArray,get_middle,3,200,5.0300004659220576e-05,2.515000232961029e-07
1000,DynamicArray,get_middle,4,200,4.939999780617654e-05,2.469999890308827e-07
1000,DynamicArray,get_middle,5,200,5.079999391455203e-05,2.5399996957276015e-07
1000,SinglyLinkedList,prepend,1,50,2.2599997464567423e-05,4.5199994929134847e-07
1000,SinglyLinkedList,prepend,2,50,2.239999594166875e-05,4.4799991883337497e-07
1000,SinglyLinkedList,prepend,3,50,1.9500002963468432e-05,3.9000005926936863e-07
1000,SinglyLinkedList,prepend,4,50,2.0799998310394585e-05,4.159999662078917e-07
1000,SinglyLinkedList,prepend,5,50,2.0699997548945248e-05,4.1399995097890497e-07
1000,SinglyLinkedList,get_middle,1,200,0.0022157000057632104,1.1078500028816051e-05
1000,SinglyLinkedList,get_middle,2,200,0.0022151000011945143,1.1075500005972571e-05
1000,SinglyLinkedList,get_middle,3,200,0.002106700005242601,1.0533500026213005e-05
1000,SinglyLinkedList,get_middle,4,200,0.0023095000069588423,1.1547500034794212e-05
1000,SinglyLinkedList,get_middle,5,200,0.00211719999788329,1.058599998941645e-05
1000,DoublyLinkedList,prepend,1,50,2.920000406447798e-05,5.840000812895596e-07
1000,DoublyLinkedList,prepend,2,50,2.269999822601676e-05,4.539999645203352e-07
1000,DoublyLinkedList,prepend,3,50,2.1200001356191933e-05,4.240000271238387e-07
1000,DoublyLinkedList,prepend,4,50,2.1200001356191933e-05,4.240000271238387e-07
1000,DoublyLinkedList,prepend,5,50,2.1899992134422064e-05,4.3799984268844126e-07
1000,DoublyLinkedList,get_middle,1,200,0.0023339000035775825,1.1669500017887914e-05
1000,DoublyLinkedList,get_middle,2,200,0.0020567000028677285,1.0283500014338642e-05
1000,DoublyLinkedList,get_middle,3,200,0.002228199999080971,1.1140999995404854e-05
1000,DoublyLinkedList,get_middle,4,200,0.0022669000027235597,1.13345000136178e-05
1000,DoublyLinkedList,get_middle,5,200,0.0020840000070165843,1.042000003508292e-05
5000,DynamicArray,prepend,1,50,0.08295619999989867,0.0016591239999979735
5000,DynamicArray,prepend,2,50,0.08346420001180377,0.0016692840002360753
5000,DynamicArray,prepend,3,50,0.08099709999805782,0.0016199419999611564
5000,DynamicArray,prepend,4,50,0.08307609999610577,0.0016615219999221154
5000,DynamicArray,prepend,5,50,0.08525329999974929,0.0017050659999949857
5000,DynamicArray,get_middle,1,200,5.259999306872487e-05,2.6299996534362437e-07
5000,DynamicArray,get_middle,2,200,5.09000092279166e-05,2.54500046139583e-07
5000,DynamicArray,get_middle,3,200,5.0099988584406674e-05,2.5049994292203335e-07
5000,DynamicArray,get_middle,4,200,5.050000618211925e-05,2.525000309105962e-07
5000,DynamicArray,get_middle,5,200,4.9700000090524554e-05,2.485000004526228e-07
5000,SinglyLinkedList,prepend,1,50,2.239999594166875e-05,4.4799991883337497e-07
5000,SinglyLinkedList,prepend,2,50,2.3899992811493576e-05,4.779998562298715e-07
5000,SinglyLinkedList,prepend,3,50,2.130000211764127e-05,4.260000423528254e-07
5000,SinglyLinkedList,prepend,4,50,2.0799998310394585e-05,4.159999662078917e-07
5000,SinglyLinkedList,prepend,5,50,2.0799998310394585e-05,4.159999662078917e-07
5000,SinglyLinkedList,get_middle,1,200,0.013204999995650724,6.602499997825362e-05
5000,SinglyLinkedList,get_middle,2,200,0.01304629999503959,6.523149997519795e-05
5000,SinglyLinkedList,get_middle,3,200,0.01285670000652317,6.428350003261585e-05
5000,SinglyLinkedList,get_middle,4,200,0.013277499994728714,6.638749997364357e-05
5000,SinglyLinkedList,get_middle,5,200,0.012598999994224869,6.299499997112434e-05
5000,DoublyLinkedList,prepend,1,50,2.540000423323363e-05,5.080000846646726e-07
5000,DoublyLinkedList,prepend,2,50,2.300000051036477e-05,4.600000102072954e-07
5000,DoublyLinkedList,prepend,3,50,2.200000744778663e-05,4.400001489557326e-07
5000,DoublyLinkedList,prepend,4,50,2.0500010577961802e-05,4.1000021155923605e-07
5000,DoublyLinkedList,prepend,5,50,2.1899992134422064e-05,4.3799984268844126e-07
5000,DoublyLinkedList,get_middle,1,200,0.012163399995188229,6.0816999975941144e-05
5000,DoublyLinkedList,get_middle,2,200,0.012067699994076975,6.0338499970384874e-05
5000,DoublyLinkedList,get_middle,3,200,0.012065999995684251,6.032999997842125e-05
5000,DoublyLinkedList,get_middle,4,200,0.012208199987071566,6.104099993535783e-05
5000,DoublyLinkedList,get_middle,5,200,0.012454799987608567,6.227399993804284e-05
10000,DynamicArray,prepend,1,50,0.1720249999925727,0.003440499999851454
10000,DynamicArray,prepend,2,50,0.16803459999209736,0.003360691999841947
10000,DynamicArray,prepend,3,50,0.1707793999958085,0.0034155879999161697
10000,DynamicArray,prepend,4,50,0.1681620000017574,0.003363240000035148
10000,DynamicArray,prepend,5,50,0.17814059999363963,0.0035628119998727926
10000,DynamicArray,get_middle,1,200,5.26000076206401e-05,2.630000381032005e-07
10000,DynamicArray,get_middle,2,200,4.980000085197389e-05,2.490000042598695e-07
